1. schůze, 1. hlasování, 20. listopadu 2017, 13:53Inf. o ustavení volební komise PS a volbě členů
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,2,2,0
ODS,25,24,0,1,0,0
Pirati,22,22,0,0,0,0
SPD,22,22,0,0,0,0
CSSD,15,13,0,0,2,0
KSCM,15,14,0,0,0,1
KDU-CSL,10,9,0,0,1,0
TOP09,7,7,0,0,0,0
STAN,6,6,0,0,0,0
Celkem,200,191,0,3,5,1
1. schůze, 2. hlasování, 20. listopadu 2017, 13:53Inf. o ustavení volební komise PS a volbě členů
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,75,0,1,2,0
ODS,25,25,0,0,0,0
Pirati,22,22,0,0,0,0
SPD,22,22,0,0,0,0
CSSD,15,14,0,0,1,0
KSCM,15,14,0,0,0,1
KDU-CSL,10,9,0,0,1,0
TOP09,7,7,0,0,0,0
STAN,6,6,0,0,0,0
Celkem,200,194,0,1,4,1
1. schůze, 3. hlasování, 20. listopadu 2017, 14:47
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,76,1,1,0
ODS,25,21,1,0,3,0
Pirati,22,0,22,0,0,0
SPD,22,1,20,0,1,0
CSSD,15,8,5,0,2,0
KSCM,15,0,4,0,10,1
KDU-CSL,10,10,0,0,0,0
TOP09,7,5,1,0,1,0
STAN,6,5,0,0,1,0
Celkem,200,50,129,1,19,1
1. schůze, 4. hlasování, 20. listopadu 2017, 15:39Náv.na stanovení počtu čl. MIV
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,77,0,1,0
ODS,25,8,4,0,13,0
Pirati,22,22,0,0,0,0
SPD,22,0,8,0,14,0
CSSD,15,5,6,0,4,0
KSCM,15,0,5,0,9,1
KDU-CSL,10,10,0,0,0,0
TOP09,7,6,0,0,1,0
STAN,6,5,0,0,1,0
Celkem,200,56,100,0,43,1
1. schůze, 5. hlasování, 20. listopadu 2017, 15:39Náv.na stanovení počtu čl. MIV
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,77,0,0,1,0
ODS,25,25,0,0,0,0
Pirati,22,0,18,0,4,0
SPD,22,22,0,0,0,0
CSSD,15,14,0,0,1,0
KSCM,15,14,0,0,0,1
KDU-CSL,10,10,0,0,0,0
TOP09,7,6,1,0,0,0
STAN,6,6,0,0,0,0
Celkem,200,174,19,0,6,1
1. schůze, 6. hlasování, 22. listopadu 2017, 10:06Návrh na ustavení MIV
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,78,0,0,0,0
ODS,25,25,0,0,0,0
Pirati,22,20,0,1,0,1
SPD,22,22,0,0,0,0
CSSD,15,10,0,3,1,1
KSCM,15,14,0,1,0,0
KDU-CSL,10,8,0,2,0,0
TOP09,7,6,0,1,0,0
STAN,6,6,0,0,0,0
Celkem,200,189,0,8,1,2
1. schůze, 7. hlasování, 22. listopadu 2017, 12:57Návrh na potvrzení předsedy MIV
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,78,0,0,0,0
ODS,25,0,23,1,1,0
Pirati,22,0,22,0,0,0
SPD,22,22,0,0,0,0
CSSD,15,0,0,3,11,1
KSCM,15,15,0,0,0,0
KDU-CSL,10,0,10,0,0,0
TOP09,7,0,5,1,1,0
STAN,6,0,6,0,0,0
Celkem,200,115,66,5,13,1
1. schůze, 8. hlasování, 22. listopadu 2017, 13:00Inf. MIV o ověření platnosti volby poslanců
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
