id,book_id,books_count,authors,original_publication_year,original_title,title,language_code
1,2767052,272,Suzanne Collins,2008.0,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng
2,3,491,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng
3,41865,226,Stephenie Meyer,2005.0,Twilight,"Twilight (Twilight, #1)",en-US
4,2657,487,Harper Lee,1960.0,To Kill a Mockingbird,To Kill a Mockingbird,eng
5,4671,1356,F. Scott Fitzgerald,1925.0,The Great Gatsby,The Great Gatsby,eng
6,11870085,226,John Green,2012.0,The Fault in Our Stars,The Fault in Our Stars,eng
7,5907,969,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,The Hobbit,en-US
8,5107,360,J.D. Salinger,1951.0,The Catcher in the Rye,The Catcher in the Rye,eng
9,960,311,Dan Brown,2000.0,Angels & Demons,"Angels & Demons  (Robert Langdon, #1)",en-CA
10,1885,3455,Jane Austen,1813.0,Pride and Prejudice,Pride and Prejudice,eng
11,77203,283,Khaled Hosseini,2003.0,The Kite Runner,The Kite Runner,eng
12,13335037,210,Veronica Roth,2011.0,Divergent,"Divergent (Divergent, #1)",eng
13,5470,995,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,1984,eng
14,7613,896,George Orwell,1945.0,Animal Farm: A Fairy Story,Animal Farm,eng
15,48855,710,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,eng
16,2429135,274,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",eng
17,6148028,201,Suzanne Collins,2009.0,Catching Fire,"Catching Fire (The Hunger Games, #2)",eng
18,5,376,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng
19,34,566,J.R.R. Tolkien,1954.0,The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng
20,7260188,239,Suzanne Collins,2010.0,Mockingjay,"Mockingjay (The Hunger Games, #3)",eng
