id,book_id,books_count,authors,original_title,title,language_code,original_publication_year
1,2767052,272,Suzanne Collins,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng,2008
2,3,491,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,1997
3,41865,226,Stephenie Meyer,Twilight,"Twilight (Twilight, #1)",en-US,2005
4,2657,487,Harper Lee,To Kill a Mockingbird,To Kill a Mockingbird,eng,1960
5,4671,1356,F. Scott Fitzgerald,The Great Gatsby,The Great Gatsby,eng,1925
6,11870085,226,John Green,The Fault in Our Stars,The Fault in Our Stars,eng,2012
7,5907,969,J.R.R. Tolkien,The Hobbit or There and Back Again,The Hobbit,en-US,1937
8,5107,360,J.D. Salinger,The Catcher in the Rye,The Catcher in the Rye,eng,1951
9,960,311,Dan Brown,Angels & Demons,"Angels & Demons  (Robert Langdon, #1)",en-CA,2000
10,1885,3455,Jane Austen,Pride and Prejudice,Pride and Prejudice,eng,1813
11,77203,283,Khaled Hosseini,The Kite Runner,The Kite Runner,eng,2003
12,13335037,210,Veronica Roth,Divergent,"Divergent (Divergent, #1)",eng,2011
13,5470,995,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four,1984,eng,1949
14,7613,896,George Orwell,Animal Farm: A Fairy Story,Animal Farm,eng,1945
15,48855,710,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,eng,1947
16,2429135,274,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,2005
17,6148028,201,Suzanne Collins,Catching Fire,"Catching Fire (The Hunger Games, #2)",eng,2009
18,5,376,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,1999
19,34,566,J.R.R. Tolkien,The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,1954
20,7260188,239,Suzanne Collins,Mockingjay,"Mockingjay (The Hunger Games, #3)",eng,2010
21,2,307,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,2003
22,12232938,183,Alice Sebold,The Lovely Bones,The Lovely Bones,eng,2002
23,15881,398,"J.K. Rowling, Mary GrandPré",Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,1998
24,6,332,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,2000
25,136251,263,"J.K. Rowling, Mary GrandPré",Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,2007
26,968,350,Dan Brown,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,2003
27,1,275,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,2005
28,7624,458,William Golding,Lord of the Flies,Lord of the Flies,eng,1954
29,18135,1937,"William Shakespeare, Robert           Jackson",An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng,1595
30,8442457,196,Gillian Flynn,Gone Girl,Gone Girl,eng,2012
31,4667024,183,Kathryn Stockett,The Help,The Help,eng,2009
32,890,373,John Steinbeck,Of Mice and Men,Of Mice and Men,eng,1937
33,930,220,Arthur Golden,Memoirs of a Geisha,Memoirs of a Geisha,eng,1997
34,10818853,169,E.L. James,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng,2011
35,865,458,"Paulo Coelho, Alan R. Clarke",O Alquimista,The Alchemist,eng,1988
36,3636,192,Lois Lowry,The Giver,"The Giver (The Giver, #1)",eng,1993
37,100915,474,C.S. Lewis,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,1950
38,14050,167,Audrey Niffenegger,The Time Traveler's Wife,The Time Traveler's Wife,eng,2003
39,13496,101,George R.R. Martin,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,1996
40,19501,185,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng,2006
41,28187,159,Rick Riordan,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,2005
42,1934,1707,Louisa May Alcott,Little Women,"Little Women (Little Women, #1)",en-US,1868
