original_publication_year,count_to_read
1988.0,1641
1976.0,959
-762.0,240
1951.0,85
8.0,277
1940.0,111
1900.0,61
1979.0,1940
1856.0,384
1953.0,376
1987.0,1224
1959.0,243
-720.0,250
1934.0,1007
-750.0,220
1978.0,240
1600.0,265
1968.0,303
1881.0,595
-440.0,79
1936.0,650
1889.0,24
1902.0,11
1876.0,385
1843.0,41
1895.0,44
1967.0,715
1815.0,15
1726.0,20
1882.0,1040
1964.0,114
1916.0,22
1844.0,196
1912.0,686
1993.0,269
2001.0,2065
-401.0,43
1954.0,678
1965.0,33
1984.0,2474
1893.0,162
1973.0,1288
1891.0,68
1859.0,189
1903.0,49
1980.0,601
1896.0,86
1966.0,211
1605.0,15
1866.0,22
1997.0,1819
1595.0,81
1992.0,1539
1990.0,632
-441.0,36
1995.0,1955
2009.0,18
1880.0,493
1938.0,661
1869.0,335
1945.0,21
1897.0,69
1899.0,84
1949.0,26
1927.0,387
2007.0,134
1932.0,147
1729.0,29
1884.0,22
1937.0,484
1960.0,50
1950.0,38
1930.0,69
1996.0,2458
1308.0,1
1943.0,83
1963.0,74
1969.0,1197
1986.0,457
1939.0,143
1998.0,1247
1877.0,127
1956.0,172
1847.0,17
1813.0,71
1860.0,62
1985.0,1166
1923.0,55
1944.0,169
1817.0,147
1957.0,1032
1925.0,52
1848.0,43
1982.0,284
2000.0,3247
1948.0,143
1994.0,567
-458.0,463
1970.0,271
1390.0,3
1952.0,75
-411.0,95
1999.0,3696
1981.0,61
1606.0,34
1807.0,11
1908.0,201
1854.0,22
1719.0,309
1975.0,67
1931.0,126
1989.0,2478
2002.0,4553
1926.0,139
1872.0,11
1868.0,171
1958.0,135
1962.0,160
1920.0,106
1911.0,63
1942.0,183
2006.0,1832
1961.0,1347
2004.0,2582
1941.0,184
1955.0,1196
1947.0,109
1905.0,102
1601.0,48
-430.0,57
1915.0,16
1972.0,152
1991.0,1178
1983.0,65
1977.0,297
1974.0,183
1924.0,92
1910.0,143
1819.0,21
1892.0,86
1946.0,135
2005.0,5231
2003.0,6120
1971.0,619
